pmid,Year,Hypothesis,Phase,Outcome,plan.con.median,plan.con.perc.surv,plan.con.time,plan.int.median,plan.int.perc.surv,plan.int.time,plan.hr,est.hr,Type1,Sided,Type2,accural,followup,ss,ss-achieved,final.con.median,final.con.perc.surv,final.con.time,final.int.median,final.int.perc.surv,final.int.time,final.hr,est.final.hr,glioma,glioma2,glioma3,diagnosis,occur,mgmt,age,age2,Difference,% difference,Difference >2,ss difference reason ,reason
178838,1976,Superiority,2,OS,7,,,12.25,,,0.571428571,0.571428571,5,N/A,80,38,18,,96,6.06,,,4.9,,,1.236734694,1.236734694,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,All,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
355604,1978,Superiority,3,OS,24,,,42,,,0.57,,5,N/A,80,36,,,303,3.5,,,4.6,,,0.83,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,All,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
355604,1978,Superiority,3,OS,24,,,42,,,0.57,,5,N/A,80,36,,,303,3.5,,,9,,,0.39,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,All,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
355604,1978,Superiority,3,OS,24,,,42,,,0.57,,5,N/A,80,36,,,303,3.5,,,8.6,,,0.41,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,All,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
1313860,1992,Superiority,2,PFS,,,,,,,,,,N/A,,,,,35,4.8,,,5.3,,,0.905660377,0.905660377,recurrent glioblastoma,Recurrent GBM,GBM,Diffuse Glioma,Recurrent,,All,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
1380989,1992,Superiority,2,PFS,,,,,,,0.67,,1,N/A,90,27,28,80,121,,,,,,,,,recurrent anaplastic gliomas and glioblastoma,Recurrent HGG,HGG,Diffuse Glioma,Recurrent,,All,,41,51.25,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
1564540,1992,Superiority,3,OS,,,,,,,,,,Two,,,43,,315,14,25,24,11.2,13,24,1.2,,new glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
1564540,1992,Superiority,3,OS,,,,,,,,,,Two,,,43,,448,13.3,21.25,42,12,23,24,0.948904545,0.948904545,new glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
1654987,1991,Superiority,3,OS,,10,18,,20,18,0.698970004,0.698970004,5,N/A,90,65,36,400,474,,29,12,,39,12,0.81,,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,74,18.5,Over-accrued,"Unplanned adjustments were made to account for dropouts, event shortfalls, or incomplete follow-up.",Met target
2049748,1991,Superiority,3,OS,,,,,,,,,5,N/A,,83,30,,139,9.7,,,14.3,,,0.678321678,0.678321678,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
2049748,1991,Superiority,3,PFS,,,,,,,,,5,N/A,,83,30,,139,4.142,,,6.674,,,0.620617321,0.620617321,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
2542193,1989,Superiority,3,OS,,,,,,,,,5,Two,,32,24,,557,9.9,,,9.9,,,1,1,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
2542193,1989,Superiority,3,OS,,,,,,,,,5,Two,,32,24,,557,9.9,,,10.4,,,0.951923077,0.951923077,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
2542193,1989,Superiority,3,OS,,,,,,,,,5,Two,,32,24,,557,9.9,,,9.2,,,1.076086957,1.076086957,New high grade glioma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing calculated ss,Missing calculated ss,Missing,N/R,Met target
2983151,1985,Superiority,2,OS,,,,,,,,,,N/A,,,,,25,7.4,,,12,,,0.616666667,0.616666667,New glioblastoma,New GBM,GBM,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
3531110,1986,Superiority,3,OS,,,,,,,,,,N/A,,25,,,293,10.6,,,12.7,,,0.834645669,0.834645669,New anaplastic gliomas and glioblastoma,New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
3551160,1987,Superiority,3,OS,,,,,,,,,,N/A,,,,,81,15.9,,,15.1,,,1.05,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,all,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
3551160,1987,Superiority,3,OS,,,,,,,,,,N/A,,,,,81,15.9,,,16.9,,,0.94,,New anaplastic gliomas,New G3G,G3G,Diffuse Glioma,New,,all,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
6088713,1983,Superiority,2,OS,,,,,,,,,,N/A,,17,,,115,55,,,50,,,1.1,1.1,new astrocytoma (grade 3-4),New HGG,HGG,Diffuse Glioma,New,,Adults and elderly,,Missing cal ss,Missing cal ss,Missing,N/R,Met target
